nct_id,url,first_received_date,last_posted_date,acronym,brief_title,brief_summary,official_title,allocation,number_of_arms,trial_freshness,enrollment,trial_stage,sites,pipeline_phase,trial_status,overall_status,start_date,primary_completion_date,completion_date,sponsor_type
ACTRN12619000581167,https://anzctr.org.au/ACTRN12619000581167.aspx,"2019-04-15 00:00:00","2019-07-15 00:00:00",Brentuximab-DLI,"Brentuximab Vedotin in combination with donor lymphocyte infusions for Hodgkin lymphoma relapsing or persisting after allogeneic stem cell transplantation",NULL,"Efficacy of Positron Emission Tomography (PET) directed combination therapy with Brentuximab Vedotin and donor lymphocyte infusion in Hodgkin lymphoma relapsing or persisting after allogeneic haematopoietic stem cell transplantation",NULL,NULL,NULL,10,NULL,1,"Phase 2",Open,Recruiting,"2019-03-20 00:00:00",NULL,NULL,Non-industry
ACTRN12619001265167,https://anzctr.org.au/ACTRN12619001265167.aspx,"2019-09-12 00:00:00","2023-06-26 00:00:00","MoST Addendum 8","Cancer Molecular Screening and Therapeutics (MoST) Program Substudy Addendum 8 substudy 19: T-DM1",NULL,"Single arm, open label, signal seeking, phase IIa trial of the activity of Trastuzumab emtansine (T-DM1) in patients with tumours harbouring HER2 amplifications or mutations",NULL,NULL,NULL,64,NULL,1,"Phase 2",Open,Recruiting,"2020-06-25 00:00:00",NULL,NULL,Non-industry
ACTRN12620000490976,https://anzctr.org.au/ACTRN12620000490976.aspx,"2020-04-20 00:00:00","2023-04-03 00:00:00",BelaCarD,"A phase I/II single arm study of combination Belantamab Mafodotin, Carfilzomib, Dexamethasone in patients with early relapsed multiple myeloma",NULL,"A phase I/II single arm study on the efficacy of combination Belantamab Mafodotin, Carfilzomib, Dexamethasone in patients with early relapsed multiple myeloma",NULL,NULL,NULL,68,NULL,1,"Phase 2",Open,Recruiting,"2021-01-12 00:00:00",NULL,NULL,Non-industry
ChiCTR2000039157,http://www.chictr.org.cn/showproj.aspx?proj=62802,"2020-10-20 00:00:00","2021-01-18 00:00:00",NULL,"A Study to evaluate the efficacy and safety of MRG003 in Patients with EGFR-Positive Advanced non-small cell lung cancer",NULL,"An open-label, single-arm, non-randomized, multicenter phase II clinical study to evaluate the efficacy and safety of MRG003 in patients with EGFR-positive advanced non-small cell lung cancer",Non-Randomized,NULL,NULL,0,NULL,1,"Phase 2",Open,Recruiting,"2020-12-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2100048560,http://www.chictr.org.cn/showproj.aspx?proj=129958,"2021-07-10 00:00:00","2022-03-21 00:00:00",NULL,"Efficacy and safety of pyrotinib maleate combined with ARX788 neoadjuvant treatment in stage II-III HER2-positive breast cancer patients who have poor outcomes after treatment with trastuzumab and pertuzumab: study protocol for a prospective, single-arm, multi-center, phase II clinical trial",NULL,"Efficacy and safety of pyrotinib maleate combined with ARX788 neoadjuvant treatment in stage II-III HER2-positive breast cancer patients who have poor outcomes after treatment with trastuzumab and pertuzumab: study protocol for a prospective, single-arm, multi-center, phase II clinical trial",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2021-08-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2200060153,http://www.chictr.org.cn/showproj.aspx?proj=137111,"2022-05-20 00:00:00","2023-03-20 00:00:00",NULL,"Study of the efficacy and safety of RC48 combined immunotherapy in neoadjuvant therapy for patients with HER2-positive muscle invasive bladder cancer",NULL,"Study of the efficacy and safety of RC48 combined immunotherapy in neoadjuvant therapy for patients with HER2-positive muscle invasive bladder cancer",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2022-05-23 00:00:00",NULL,NULL,Non-industry
ChiCTR2200060250,http://www.chictr.org.cn/showproj.aspx?proj=170305,"2022-05-23 00:00:00","2023-03-20 00:00:00",NULL,"A Multicenter, Prospective, Open-Label Study of Disitamab Vedotin in Neoadjvant Treatment of HER2 Positive Breast Cancer With Poor Early Efficacy",NULL,"A Multicenter, Prospective, Open-Label Study of Disitamab Vedotin in Neoadjvant Treatment of HER2 Positive Breast Cancer With Poor Early Efficacy",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2022-06-06 00:00:00",NULL,NULL,Non-industry
ChiCTR2200062770,http://www.chictr.org.cn/showproj.aspx?proj=174691,"2022-08-18 00:00:00","2023-04-12 00:00:00",NULL,"Explore the Efficacy and Safety of Pembrolizumab and RC48-ADC in HER2 expressing Metastatic Colorectal cancer Failed at Least two Lines of Systemic Treatment",NULL,"Explore the Efficacy and Safety of Pembrolizumab and RC48-ADC in HER2 expressing Metastatic Colorectal cancer Failed at Least two Lines of Systemic Treatment",NULL,NULL,NULL,1,NULL,1,"Phase 2",Planned,Pending,"2022-09-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2200063838,https://www.chictr.org.cn/showproj.html?proj=175504,"2022-09-19 00:00:00","2023-04-17 00:00:00",NULL,"A multicenter, single-arm, open-label, exploratory clinical study of Disitamab Vedotin combined with Zimberelizumab in previously treated patients with unresectable HER2-overexpressed locally advanced or metastatic biliary tract cancer",NULL,"A multicenter, single-arm, open-label, exploratory clinical study of Disitamab Vedotin combined with Zimberelizumab in previously treated patients with unresectable HER2-overexpressed locally advanced or metastatic biliary tract cancer",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2022-09-14 00:00:00",NULL,NULL,Non-industry
ChiCTR2200065807,https://www.chictr.org.cn/showproj.html?proj=183844,"2022-11-15 00:00:00","2023-05-15 00:00:00",NULL,"Disitamab Vedotin plus Durvalumab for HER2 overexpressing cholangiocarcinoma",NULL,"A Phase II Clinical Study of the Efficacy and Safety of Disitamab Vedotin plus Durvalumab for HER2 Overexpressing Cholangiocarcinoma",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2022-11-25 00:00:00",NULL,NULL,Non-industry
