nct_id,drug_id,drug,drug_candidate,drug_alias,target,target_description,modality,modality_description,therapy_class,therapy_class_description,company,drug_payload,drug_payload_moa
ACTRN12619000581167,37766,"brentuximab vedotin",Pipeline,"Adcetris|brentuximab vedotin|cAC10-vcMMAE|SGN-035|SGN-35",CD30,"Cluster of Differentiation-30",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ACTRN12619000581167,37766,"brentuximab vedotin",Pipeline,"Adcetris|brentuximab vedotin|cAC10-vcMMAE|SGN-035|SGN-35",CD30,"Cluster of Differentiation-30",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Takeda,"Monomethyl Auristatin E","Tubulin inhibitor"
ACTRN12619001265167,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
ACTRN12620000490976,37549,"belantamab mafodotin",Pipeline,"Belamaf|belantamab mafodotin|belantamab mafodotin-blmf|Blenrep|GSK-2857916|GSK-916|GSK2857916|J6M0-mcMMAF",BCMA,"B-cell maturation antigen",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,GSK,"Monomethyl Auristatin Phenylalanine","Tubulin inhibitor"
ChiCTR2000039157,49520,MRG003,Pipeline,"MRG 003|MRG003",EGFR,"Epidermal Growth Factor Receptor",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,"Shanghai Miracogen","Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2100048560,37250,ARX788,Pipeline,"aHER-2 ADC|aHER-2-ADC|ARX788|NCB-001",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Ambrx,"Monomethyl Auristatin F","Tubulin inhibitor"
ChiCTR2200060153,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200060153,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200060250,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200060250,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200062770,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200062770,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200063838,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200063838,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200065807,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200065807,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200066256,75711,"CRB 701",Pipeline,"CRB 701|CRB-701|SYS 6002|SYS6002",Nectin-4,"Nectin cell adhesion molecule 4",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,"Corbus Pharmaceuticals","Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2200066256,75711,"CRB 701",Pipeline,"CRB 701|CRB-701|SYS 6002|SYS6002",Nectin-4,"Nectin cell adhesion molecule 4",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,"CSPC BioPharma","Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300067600,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300067600,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068270,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068270,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068769,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068769,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068946,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,RemeGen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300068946,50010,"disitamab vedotin",Pipeline,"Aidixi|disitamab vedotin|RC 48|RC48",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300069410,38740,"enfortumab vedotin",Pipeline,"AGS-22C3|AGS-22CE|AGS-22M6E|AGS-M6|ASG-22CE|ASG-22M6E|ASG-22ME|enformumab vendotin|enfortumab vedotin|enfortumab vedotin-ejfv|Padcev",Nectin-4,"Nectin cell adhesion molecule 4",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Astellas,"Monomethyl Auristatin E","Tubulin inhibitor"
ChiCTR2300069410,38740,"enfortumab vedotin",Pipeline,"AGS-22C3|AGS-22CE|AGS-22M6E|AGS-M6|ASG-22CE|ASG-22M6E|ASG-22ME|enformumab vendotin|enfortumab vedotin|enfortumab vedotin-ejfv|Padcev",Nectin-4,"Nectin cell adhesion molecule 4",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
CTRI/2019/08/020544,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
CTRI/2021/10/037317,41075,"polatuzumab vedotin",Pipeline,"ACD79B-VCMMAE|DCDS-4501A|FCU-2711|Polatuzumab|polatuzumab vedotin|polatuzumab vedotin-piiq|Polivy|RG-7596|RG7596|RO-5541077|RO-5541077-000",CD79,"Cluster of Differentiation-79",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Roche,"Monomethyl Auristatin E","Tubulin inhibitor"
CTRI/2022/02/040116,42178,"trastuzumab deruxtecan",Pipeline,"DS-8201|DS-8201a|Enhertu|fam-trastuzumab deruxtecan|fam-trastuzumab deruxtecan-nxki|T-DXd|trastuzumab deruxtecan",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,AstraZeneca,Deruxtecan,"DNA damaging agent"
CTRI/2022/02/040116,42178,"trastuzumab deruxtecan",Pipeline,"DS-8201|DS-8201a|Enhertu|fam-trastuzumab deruxtecan|fam-trastuzumab deruxtecan-nxki|T-DXd|trastuzumab deruxtecan",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,"Daiichi Sankyo",Deruxtecan,"DNA damaging agent"
CTRI/2023/03/050491,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
CTRI/2023/05/052218,38426,"datopotamab deruxtecan",Pipeline,"Dato-DXd|datopotamab deruxtecan|DS-1062|DS-1062a",TROP2,"Trophoblast cell-surface antigen 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,AstraZeneca,"MAAA 1181a","DNA damaging agent"
CTRI/2023/05/052218,38426,"datopotamab deruxtecan",Pipeline,"Dato-DXd|datopotamab deruxtecan|DS-1062|DS-1062a",TROP2,"Trophoblast cell-surface antigen 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,"Daiichi Sankyo","MAAA 1181a","DNA damaging agent"
