nct_id,indication_id,indication
ACTRN12619000581167,380,"Classical Hodgkin Lymphoma"
ACTRN12619001265167,371,"Lung Cancer"
ACTRN12619001265167,373,"Non-small Cell Lung Cancer"
ACTRN12619001265167,414,"Solid Tumors"
ACTRN12620000490976,392,"Multiple Myeloma"
ChiCTR2000039157,371,"Lung Cancer"
ChiCTR2000039157,373,"Non-small Cell Lung Cancer"
ChiCTR2000039157,414,"Solid Tumors"
ChiCTR2100048560,306,"Breast Cancer"
ChiCTR2200060153,333,"Bladder Cancer"
ChiCTR2200060153,334,"Genitourinary Cancer"
ChiCTR2200060250,306,"Breast Cancer"
ChiCTR2200062770,323,"Colorectal Cancer"
ChiCTR2200063838,322,"Biliary Tract Cancer"
ChiCTR2200063838,325,"Gallbladder Cancer"
ChiCTR2200063838,333,"Bladder Cancer"
ChiCTR2200063838,334,"Genitourinary Cancer"
ChiCTR2200065807,322,"Biliary Tract Cancer"
ChiCTR2200066256,333,"Bladder Cancer"
ChiCTR2200066256,334,"Genitourinary Cancer"
ChiCTR2200066256,370,"Liver Cancer"
ChiCTR2200066256,414,"Solid Tumors"
ChiCTR2300067600,306,"Breast Cancer"
ChiCTR2300068270,333,"Bladder Cancer"
ChiCTR2300068270,334,"Genitourinary Cancer"
ChiCTR2300068769,306,"Breast Cancer"
ChiCTR2300068946,301,"Brain Cancer"
ChiCTR2300068946,306,"Breast Cancer"
ChiCTR2300069410,333,"Bladder Cancer"
ChiCTR2300069410,334,"Genitourinary Cancer"
CTRI/2019/08/020544,306,"Breast Cancer"
CTRI/2021/10/037317,361,"B-cell Leukemia"
CTRI/2021/10/037317,376,"B-cell Lymphoma"
CTRI/2021/10/037317,379,"Central Nervous System Lymphoma"
CTRI/2021/10/037317,382,"Diffuse Large B-cell Lymphoma"
CTRI/2021/10/037317,387,"Non-Hodgkin Lymphoma"
CTRI/2022/02/040116,371,"Lung Cancer"
CTRI/2022/02/040116,373,"Non-small Cell Lung Cancer"
CTRI/2023/03/050491,306,"Breast Cancer"
CTRI/2023/05/052218,370,"Liver Cancer"
CTRI/2023/05/052218,371,"Lung Cancer"
CTRI/2023/05/052218,373,"Non-small Cell Lung Cancer"
EUCTR2005-000279-16-FI,358,"Acute Myeloid Leukemia"
EUCTR2005-001588-78-GB,358,"Acute Myeloid Leukemia"
EUCTR2005-001588-78-GB,368,"Myelodysplastic Syndrome"
EUCTR2007-003798-16-DK,358,"Acute Myeloid Leukemia"
EUCTR2007-003798-16-DK,368,"Myelodysplastic Syndrome"
EUCTR2010-018980-41-BE,355,"Hematological Malignancies"
EUCTR2010-018980-41-BE,358,"Acute Myeloid Leukemia"
EUCTR2013-003252-20-BE,306,"Breast Cancer"
EUCTR2013-003252-20-BE,307,"Triple-Negative Breast Cancer"
EUCTR2013-003252-20-BE,333,"Bladder Cancer"
EUCTR2013-003252-20-BE,334,"Genitourinary Cancer"
EUCTR2014-000793-19-ES,306,"Breast Cancer"
EUCTR2014-000808-10-SE,306,"Breast Cancer"
EUCTR2014-002195-90-DK,358,"Acute Myeloid Leukemia"
EUCTR2014-002195-90-DK,368,"Myelodysplastic Syndrome"
EUCTR2014-005341-44-AT,414,"Solid Tumors"
EUCTR2016-000227-71-FI,326,"Gastric Cancer"
EUCTR2016-000227-71-FI,328,"Gastrointestinal Cancer"
EUCTR2016-000227-71-FI,357,"Acute Lymphocytic Leukemia"
EUCTR2016-000227-71-FI,361,"B-cell Leukemia"
EUCTR2016-000227-71-FI,376,"B-cell Lymphoma"
EUCTR2016-000227-71-FI,379,"Central Nervous System Lymphoma"
EUCTR2016-000227-71-FI,382,"Diffuse Large B-cell Lymphoma"
EUCTR2016-000227-71-FI,387,"Non-Hodgkin Lymphoma"
EUCTR2016-000227-71-FI,389,"Primary Mediastinal B-cell Lymphoma"
EUCTR2019-002181-12-IT,306,"Breast Cancer"
EUCTR2019-002181-12-IT,414,"Solid Tumors"
EUCTR2019-003084-21-IT,380,"Classical Hodgkin Lymphoma"
EUCTR2020-000273-24-GB,358,"Acute Myeloid Leukemia"
EUCTR2020-004181-20-IT,380,"Classical Hodgkin Lymphoma"
EUCTR2021-003526-80-CZ,375,"Anaplastic Large Cell Lymphoma"
EUCTR2021-003526-80-CZ,388,"Peripheral T-cell Lymphoma"
EUCTR2021-003526-80-CZ,390,"T-cell lymphoma"
JPRN-jRCT2011210017,353,"Head and Neck Cancer"
JPRN-jRCT2031200186,353,"Head and Neck Cancer"
JPRN-jRCT2031200186,371,"Lung Cancer"
JPRN-jRCT2031200186,373,"Non-small Cell Lung Cancer"
JPRN-jRCT2031220404,323,"Colorectal Cancer"
JPRN-jRCT2031220404,326,"Gastric Cancer"
JPRN-jRCT2031220404,328,"Gastrointestinal Cancer"
JPRN-jRCT2031220404,337,"Prostate Cancer"
JPRN-jRCT2031220404,343,"Endometrial Cancer"
JPRN-jRCT2031220404,344,"Fallopian tube Cancer"
JPRN-jRCT2031220404,347,"Ovarian Cancer"
JPRN-jRCT2031220404,348,"Peritoneal Cancer"
JPRN-jRCT2031220404,414,"Solid Tumors"
JPRN-jRCT2031220414,414,"Solid Tumors"
JPRN-jRCT2051220070,414,"Solid Tumors"
JPRN-jRCT2061220066,371,"Lung Cancer"
JPRN-jRCT2061220066,373,"Non-small Cell Lung Cancer"
JPRN-jRCTs031200336,326,"Gastric Cancer"
JPRN-jRCTs031200336,327,"Gastroesophageal Junction"
JPRN-jRCTs031200336,328,"Gastrointestinal Cancer"
JPRN-jRCTs031200336,370,"Liver Cancer"
JPRN-jRCTs031210410,301,"Brain Cancer"
JPRN-jRCTs031210410,306,"Breast Cancer"
JPRN-jRCTs041190101,359,"Acute Promyelocytic Leukemia"
JPRN-jRCTs041200063,358,"Acute Myeloid Leukemia"
JPRN-UMIN000014649,306,"Breast Cancer"
JPRN-UMIN000030783,306,"Breast Cancer"
JPRN-UMIN000034205,381,"Cutaneous T-cell Lymphoma"
JPRN-UMIN000034205,390,"T-cell lymphoma"
NCT00006721,383,"Follicular Lymphoma"
NCT00006721,387,"Non-Hodgkin Lymphoma"
NCT00135200,392,"Multiple Myeloma"
NCT00658814,358,"Acute Myeloid Leukemia"
NCT00781612,414,"Solid Tumors"
NCT00801489,358,"Acute Myeloid Leukemia"
NCT00801489,368,"Myelodysplastic Syndrome"
NCT01042379,306,"Breast Cancer"
NCT01042379,307,"Triple-Negative Breast Cancer"
NCT01352520,375,"Anaplastic Large Cell Lymphoma"
NCT01352520,381,"Cutaneous T-cell Lymphoma"
NCT01352520,390,"T-cell lymphoma"
NCT01371630,357,"Acute Lymphocytic Leukemia"
NCT01371630,376,"B-cell Lymphoma"
NCT01371630,739,"Burkitt Lymphoma"
NCT01409161,359,"Acute Promyelocytic Leukemia"
NCT01476410,380,"Classical Hodgkin Lymphoma"
NCT01476410,751,"Hodgkin Lymphoma"
NCT01494662,306,"Breast Cancer"
NCT01508312,380,"Classical Hodgkin Lymphoma"
NCT01508312,751,"Hodgkin Lymphoma"
NCT01565200,306,"Breast Cancer"
NCT01703949,387,"Non-Hodgkin Lymphoma"
NCT01703949,751,"Hodgkin Lymphoma"
NCT01712490,380,"Classical Hodgkin Lymphoma"
NCT01712490,751,"Hodgkin Lymphoma"
NCT01716806,380,"Classical Hodgkin Lymphoma"
NCT01716806,388,"Peripheral T-cell Lymphoma"
NCT01716806,751,"Hodgkin Lymphoma"
NCT01745965,306,"Breast Cancer"
NCT01771107,751,"Hodgkin Lymphoma"
NCT01772472,306,"Breast Cancer"
NCT01853748,306,"Breast Cancer"
NCT01868451,380,"Classical Hodgkin Lymphoma"
NCT01868451,751,"Hodgkin Lymphoma"
NCT01920932,380,"Classical Hodgkin Lymphoma"
NCT01920932,751,"Hodgkin Lymphoma"
NCT01979536,375,"Anaplastic Large Cell Lymphoma"
NCT02098512,751,"Hodgkin Lymphoma"
NCT02099058,373,"Non-small Cell Lung Cancer"
NCT02099058,414,"Solid Tumors"
NCT02117297,358,"Acute Myeloid Leukemia"
NCT02117297,368,"Myelodysplastic Syndrome"
NCT02152995,317,"Thyroid Cancer"
NCT02166463,380,"Classical Hodgkin Lymphoma"
NCT02166463,751,"Hodgkin Lymphoma"
NCT02187848,322,"Biliary Tract Cancer"
NCT02187848,323,"Colorectal Cancer"
NCT02187848,326,"Gastric Cancer"
NCT02187848,332,"Pancreatic Cancer"
NCT02187848,333,"Bladder Cancer"
NCT02187848,343,"Endometrial Cancer"
NCT02187848,347,"Ovarian Cancer"
NCT02187848,373,"Non-small Cell Lung Cancer"
NCT02187848,374,"Small Cell Lung Cancer"
NCT02187848,414,"Solid Tumors"
NCT02191930,380,"Classical Hodgkin Lymphoma"
NCT02191930,751,"Hodgkin Lymphoma"
NCT02221310,358,"Acute Myeloid Leukemia"
NCT02221310,368,"Myelodysplastic Syndrome"
NCT02226276,306,"Breast Cancer"
NCT02227199,751,"Hodgkin Lymphoma"
NCT02272478,358,"Acute Myeloid Leukemia"
NCT02272478,368,"Myelodysplastic Syndrome"
NCT02298257,751,"Hodgkin Lymphoma"
NCT02314481,373,"Non-small Cell Lung Cancer"
NCT02326974,306,"Breast Cancer"
NCT02343042,392,"Multiple Myeloma"
NCT02390427,306,"Breast Cancer"
NCT02393690,317,"Thyroid Cancer"
NCT02398240,751,"Hodgkin Lymphoma"
NCT02448420,306,"Breast Cancer"
NCT02453594,380,"Classical Hodgkin Lymphoma"
NCT02453594,751,"Hodgkin Lymphoma"
NCT02465060,304,Glioma
NCT02465060,306,"Breast Cancer"
NCT02465060,322,"Biliary Tract Cancer"
NCT02465060,323,"Colorectal Cancer"
NCT02465060,324,"Esophageal Cancer"
NCT02465060,326,"Gastric Cancer"
NCT02465060,331,"Hepatocellular Carcinoma"
NCT02465060,332,"Pancreatic Cancer"
NCT02465060,333,"Bladder Cancer"
NCT02465060,337,"Prostate Cancer"
NCT02465060,338,"Renal Cell Carcinoma"
NCT02465060,342,"Cervical Cancer"
NCT02465060,343,"Endometrial Cancer"
NCT02465060,347,"Ovarian Cancer"
NCT02465060,353,"Head and Neck Cancer"
NCT02465060,371,"Lung Cancer"
NCT02465060,392,"Multiple Myeloma"
NCT02465060,410,Melanoma
NCT02465060,413,"Skin Cancer"
NCT02465060,414,"Solid Tumors"
NCT02465060,717,"Uterine Cancer"
NCT02473146,358,"Acute Myeloid Leukemia"
NCT02564900,306,"Breast Cancer"
NCT02564900,326,"Gastric Cancer"
NCT02564900,327,"Gastroesophageal Junction"
NCT02564900,414,"Solid Tumors"
NCT02568839,306,"Breast Cancer"
NCT02568839,355,"Hematological Malignancies"
NCT02588651,360,"Adult T-cell Leukemia-Lymphoma"
NCT02588651,388,"Peripheral T-cell Lymphoma"
NCT02588651,390,"T-cell lymphoma"
NCT02588651,737,"Enteropathy-Associated T-cell Lymphoma"
NCT02616965,355,"Hematological Malignancies"
NCT02616965,375,"Anaplastic Large Cell Lymphoma"
NCT02616965,381,"Cutaneous T-cell Lymphoma"
NCT02661503,380,"Classical Hodgkin Lymphoma"
NCT02661503,751,"Hodgkin Lymphoma"
NCT02665065,358,"Acute Myeloid Leukemia"
NCT02675829,323,"Colorectal Cancer"
NCT02675829,333,"Bladder Cancer"
NCT02675829,343,"Endometrial Cancer"
NCT02675829,346,"Gynecologic Cancer"
NCT02675829,371,"Lung Cancer"
NCT02675829,414,"Solid Tumors"
NCT02684292,380,"Classical Hodgkin Lymphoma"
NCT02684292,751,"Hodgkin Lymphoma"
NCT02724163,358,"Acute Myeloid Leukemia"
NCT02724163,368,"Myelodysplastic Syndrome"
NCT02734771,382,"Diffuse Large B-cell Lymphoma"
NCT02744612,751,"Hodgkin Lymphoma"
NCT02758717,380,"Classical Hodgkin Lymphoma"
NCT02758717,751,"Hodgkin Lymphoma"
NCT02877303,357,"Acute Lymphocytic Leukemia"
NCT02877303,741,"Lymphoblastic Lymphoma"
NCT02927769,380,"Classical Hodgkin Lymphoma"
NCT02927769,751,"Hodgkin Lymphoma"
NCT02980341,306,"Breast Cancer"
NCT02980341,307,"Triple-Negative Breast Cancer"
NCT02981628,357,"Acute Lymphocytic Leukemia"
NCT02981628,732,"B-cell Acute Lymphocytic Leukemia"
NCT02981628,741,"Lymphoblastic Lymphoma"
NCT02996825,306,"Breast Cancer"
NCT02996825,307,"Triple-Negative Breast Cancer"
NCT02996825,343,"Endometrial Cancer"
NCT02996825,344,"Fallopian tube Cancer"
NCT02996825,347,"Ovarian Cancer"
NCT02996825,348,"Peritoneal Cancer"
NCT03007030,372,Mesothelioma
NCT03013933,751,"Hodgkin Lymphoma"
NCT03032107,306,"Breast Cancer"
NCT03052634,306,"Breast Cancer"
NCT03057795,380,"Classical Hodgkin Lymphoma"
NCT03057795,751,"Hodgkin Lymphoma"
NCT03104491,357,"Acute Lymphocytic Leukemia"
NCT03104491,387,"Non-Hodgkin Lymphoma"
NCT03113500,360,"Adult T-cell Leukemia-Lymphoma"
NCT03113500,375,"Anaplastic Large Cell Lymphoma"
NCT03113500,387,"Non-Hodgkin Lymphoma"
NCT03113500,388,"Peripheral T-cell Lymphoma"
NCT03113500,390,"T-cell lymphoma"
NCT03113500,737,"Enteropathy-Associated T-cell Lymphoma"
NCT03126630,372,Mesothelioma
NCT03126916,310,Neuroblastoma
NCT03187210,388,"Peripheral T-cell Lymphoma"
NCT03187210,751,"Hodgkin Lymphoma"
NCT03217643,737,"Enteropathy-Associated T-cell Lymphoma"
NCT03219333,333,"Bladder Cancer"
NCT03219333,334,"Genitourinary Cancer"
NCT03219333,715,"Urethral Cancer"
NCT03233347,380,"Classical Hodgkin Lymphoma"
NCT03233347,751,"Hodgkin Lymphoma"
NCT03246750,390,"T-cell lymphoma"
NCT03248492,306,"Breast Cancer"
NCT03249870,357,"Acute Lymphocytic Leukemia"
NCT03255070,306,"Breast Cancer"
NCT03255070,326,"Gastric Cancer"
NCT03255070,414,"Solid Tumors"
NCT03260491,371,"Lung Cancer"
NCT03260491,373,"Non-small Cell Lung Cancer"
NCT03264131,360,"Adult T-cell Leukemia-Lymphoma"
NCT03264131,388,"Peripheral T-cell Lymphoma"
NCT03264547,306,"Breast Cancer"
NCT03274492,375,"Anaplastic Large Cell Lymphoma"
NCT03274492,376,"B-cell Lymphoma"
NCT03274492,382,"Diffuse Large B-cell Lymphoma"
NCT03288545,333,"Bladder Cancer"
NCT03288545,334,"Genitourinary Cancer"
NCT03288545,715,"Urethral Cancer"
NCT03310957,306,"Breast Cancer"
NCT03310957,307,"Triple-Negative Breast Cancer"
NCT03316638,414,"Solid Tumors"
NCT03319628,347,"Ovarian Cancer"
NCT03319628,373,"Non-small Cell Lung Cancer"
NCT03319628,414,"Solid Tumors"
NCT03334617,371,"Lung Cancer"
NCT03334617,373,"Non-small Cell Lung Cancer"
NCT03337698,373,"Non-small Cell Lung Cancer"
NCT03356054,382,"Diffuse Large B-cell Lymphoma"
NCT03356054,387,"Non-Hodgkin Lymphoma"
NCT03356054,389,"Primary Mediastinal B-cell Lymphoma"
NCT03374332,358,"Acute Myeloid Leukemia"
NCT03379428,306,"Breast Cancer"
NCT03383692,414,"Solid Tumors"
NCT03386513,355,"Hematological Malignancies"
NCT03386513,357,"Acute Lymphocytic Leukemia"
NCT03386513,358,"Acute Myeloid Leukemia"
NCT03386513,364,"Chronic Myeloid Leukemia"
NCT03386513,365,"Chronic Myelomonocytic Leukemia"
