nct_id,indication,line_of_therapy
ACTRN12619000581167,"Classical Hodgkin Lymphoma",1L
ACTRN12619000581167,"Classical Hodgkin Lymphoma",2L
ACTRN12619001265167,"Lung Cancer",1L
ACTRN12619001265167,"Lung Cancer",2L
ACTRN12619001265167,"Non-small Cell Lung Cancer",1L
ACTRN12619001265167,"Non-small Cell Lung Cancer",2L
ACTRN12619001265167,"Solid Tumors",1L
ACTRN12619001265167,"Solid Tumors",2L
ACTRN12620000490976,"Multiple Myeloma",1-3PL
ChiCTR2000039157,"Lung Cancer",3L
ChiCTR2000039157,"Non-small Cell Lung Cancer",3L
ChiCTR2000039157,"Solid Tumors",3L
ChiCTR2100048560,"Breast Cancer",Neoadjuvant
ChiCTR2200060250,"Breast Cancer",Neoadjuvant
ChiCTR2200062770,"Colorectal Cancer",3L
ChiCTR2200063838,"Biliary Tract Cancer",2L
ChiCTR2200063838,"Bladder Cancer",2L
ChiCTR2200063838,"Gallbladder Cancer",2L
ChiCTR2200063838,"Genitourinary Cancer",2L
ChiCTR2200065807,"Biliary Tract Cancer",3L
ChiCTR2200066256,"Bladder Cancer",2L
ChiCTR2200066256,"Genitourinary Cancer",2L
ChiCTR2200066256,"Liver Cancer",2L
ChiCTR2200066256,"Solid Tumors",2L
ChiCTR2300067600,"Breast Cancer",2L
ChiCTR2300068946,"Brain Cancer",1L
ChiCTR2300068946,"Brain Cancer",2L
ChiCTR2300068946,"Breast Cancer",1L
ChiCTR2300068946,"Breast Cancer",2L
ChiCTR2300069410,"Bladder Cancer",1L
ChiCTR2300069410,"Genitourinary Cancer",1L
CTRI/2019/08/020544,"Breast Cancer",2L
CTRI/2021/10/037317,"B-cell Leukemia",2L
CTRI/2021/10/037317,"B-cell Lymphoma",2L
CTRI/2021/10/037317,"Central Nervous System Lymphoma",2L
CTRI/2021/10/037317,"Diffuse Large B-cell Lymphoma",2L
CTRI/2021/10/037317,"Non-Hodgkin Lymphoma",2L
CTRI/2022/02/040116,"Lung Cancer",1L
CTRI/2022/02/040116,"Non-small Cell Lung Cancer",1L
CTRI/2023/05/052218,"Liver Cancer",1L
CTRI/2023/05/052218,"Lung Cancer",1L
CTRI/2023/05/052218,"Non-small Cell Lung Cancer",1L
EUCTR2005-001588-78-GB,"Acute Myeloid Leukemia",1L
EUCTR2005-001588-78-GB,"Myelodysplastic Syndrome",1L
EUCTR2007-003798-16-DK,"Acute Myeloid Leukemia",1L
EUCTR2007-003798-16-DK,"Myelodysplastic Syndrome",1L
EUCTR2010-018980-41-BE,"Acute Myeloid Leukemia",1L
EUCTR2010-018980-41-BE,"Hematological Malignancies",1L
EUCTR2013-003252-20-BE,"Bladder Cancer",2L
EUCTR2013-003252-20-BE,"Bladder Cancer",3L
EUCTR2013-003252-20-BE,"Bladder Cancer",4L
EUCTR2013-003252-20-BE,"Breast Cancer",2L
EUCTR2013-003252-20-BE,"Breast Cancer",3L
EUCTR2013-003252-20-BE,"Breast Cancer",4L
EUCTR2013-003252-20-BE,"Genitourinary Cancer",2L
EUCTR2013-003252-20-BE,"Genitourinary Cancer",3L
EUCTR2013-003252-20-BE,"Genitourinary Cancer",4L
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",2L
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",3L
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",4L
EUCTR2014-000793-19-ES,"Breast Cancer",1L
EUCTR2014-000808-10-SE,"Breast Cancer",Neoadjuvant
EUCTR2014-002195-90-DK,"Acute Myeloid Leukemia",2L
EUCTR2014-002195-90-DK,"Myelodysplastic Syndrome",2L
EUCTR2014-005341-44-AT,"Solid Tumors",2L
EUCTR2016-000227-71-FI,"Acute Lymphocytic Leukemia",2L
EUCTR2016-000227-71-FI,"B-cell Leukemia",2L
EUCTR2016-000227-71-FI,"B-cell Lymphoma",2L
EUCTR2016-000227-71-FI,"Central Nervous System Lymphoma",2L
EUCTR2016-000227-71-FI,"Diffuse Large B-cell Lymphoma",2L
EUCTR2016-000227-71-FI,"Gastric Cancer",2L
EUCTR2016-000227-71-FI,"Gastrointestinal Cancer",2L
EUCTR2016-000227-71-FI,"Non-Hodgkin Lymphoma",2L
EUCTR2016-000227-71-FI,"Primary Mediastinal B-cell Lymphoma",2L
EUCTR2019-002181-12-IT,"Breast Cancer",2L
EUCTR2019-002181-12-IT,"Solid Tumors",2L
EUCTR2019-003084-21-IT,"Classical Hodgkin Lymphoma",2L
EUCTR2020-000273-24-GB,"Acute Myeloid Leukemia",1L
EUCTR2020-004181-20-IT,"Classical Hodgkin Lymphoma",2L
EUCTR2021-003526-80-CZ,"Anaplastic Large Cell Lymphoma",1L
EUCTR2021-003526-80-CZ,"Peripheral T-cell Lymphoma",1L
EUCTR2021-003526-80-CZ,"T-cell lymphoma",1L
JPRN-jRCT2011210017,"Head and Neck Cancer",1L
JPRN-jRCT2031200186,"Head and Neck Cancer",2L
JPRN-jRCT2031200186,"Lung Cancer",2L
JPRN-jRCT2031200186,"Non-small Cell Lung Cancer",2L
JPRN-jRCT2031220404,"Colorectal Cancer",1L
JPRN-jRCT2031220404,"Endometrial Cancer",1L
JPRN-jRCT2031220404,"Fallopian tube Cancer",1L
JPRN-jRCT2031220404,"Gastric Cancer",1L
JPRN-jRCT2031220404,"Gastrointestinal Cancer",1L
JPRN-jRCT2031220404,"Ovarian Cancer",1L
JPRN-jRCT2031220404,"Peritoneal Cancer",1L
JPRN-jRCT2031220404,"Prostate Cancer",1L
JPRN-jRCT2031220404,"Solid Tumors",1L
JPRN-jRCT2031220414,"Solid Tumors",2L
JPRN-jRCT2051220070,"Solid Tumors",1L
JPRN-jRCT2061220066,"Lung Cancer",1L
JPRN-jRCT2061220066,"Non-small Cell Lung Cancer",1L
JPRN-jRCTs031210410,"Brain Cancer",2L
JPRN-jRCTs031210410,"Breast Cancer",2L
JPRN-jRCTs041200063,"Acute Myeloid Leukemia",1L
NCT00006721,"Follicular Lymphoma",1L
NCT00006721,"Non-Hodgkin Lymphoma",1L
NCT00135200,"Multiple Myeloma",1-3PL
NCT00135200,"Multiple Myeloma","Newly Diagnosed"
NCT00658814,"Acute Myeloid Leukemia",1L
NCT00658814,"Acute Myeloid Leukemia",2L
NCT00781612,"Solid Tumors",2L
NCT00801489,"Acute Myeloid Leukemia",1L
NCT00801489,"Myelodysplastic Syndrome",1L
NCT01352520,"Anaplastic Large Cell Lymphoma",2L
NCT01352520,"Cutaneous T-cell Lymphoma",2L
NCT01352520,"T-cell lymphoma",2L
NCT01371630,"Acute Lymphocytic Leukemia",1L
NCT01371630,"Acute Lymphocytic Leukemia",2L
NCT01371630,"B-cell Lymphoma",1L
NCT01371630,"B-cell Lymphoma",2L
NCT01371630,"Burkitt Lymphoma",1L
NCT01371630,"Burkitt Lymphoma",2L
NCT01409161,"Acute Promyelocytic Leukemia",1L
NCT01476410,"Classical Hodgkin Lymphoma",1L
NCT01476410,"Hodgkin Lymphoma",1L
NCT01494662,"Breast Cancer",2L
NCT01494662,"Breast Cancer",3L
NCT01494662,"Breast Cancer",4L
NCT01508312,"Classical Hodgkin Lymphoma",2L
NCT01508312,"Hodgkin Lymphoma",1L
NCT01508312,"Hodgkin Lymphoma",2L
NCT01565200,"Breast Cancer",2L
NCT01703949,"Hodgkin Lymphoma",2L
NCT01703949,"Hodgkin Lymphoma",3L
NCT01703949,"Non-Hodgkin Lymphoma",2L
NCT01703949,"Non-Hodgkin Lymphoma",3L
NCT01712490,"Classical Hodgkin Lymphoma",1L
NCT01712490,"Hodgkin Lymphoma",1L
NCT01716806,"Classical Hodgkin Lymphoma",1L
NCT01716806,"Hodgkin Lymphoma",1L
NCT01716806,"Peripheral T-cell Lymphoma",1L
NCT01771107,"Hodgkin Lymphoma",1L
NCT01772472,"Breast Cancer",Adjuvant
NCT01853748,"Breast Cancer",1L
