nct_id,indication,population
ACTRN12619000581167,"Classical Hodgkin Lymphoma",Relapsed
ACTRN12619001265167,"Lung Cancer",Advanced
ACTRN12619001265167,"Lung Cancer",Metastatic
ACTRN12619001265167,"Lung Cancer",Refractory
ACTRN12619001265167,"Lung Cancer",Relapsed
ACTRN12619001265167,"Non-small Cell Lung Cancer",Advanced
ACTRN12619001265167,"Non-small Cell Lung Cancer",Metastatic
ACTRN12619001265167,"Non-small Cell Lung Cancer",Refractory
ACTRN12619001265167,"Non-small Cell Lung Cancer",Relapsed
ACTRN12619001265167,"Solid Tumors",Advanced
ACTRN12619001265167,"Solid Tumors",Metastatic
ACTRN12619001265167,"Solid Tumors",Refractory
ACTRN12619001265167,"Solid Tumors",Relapsed
ACTRN12620000490976,"Multiple Myeloma",Refractory
ACTRN12620000490976,"Multiple Myeloma",Relapsed
ChiCTR2200060153,"Bladder Cancer",Muscle-invasive
ChiCTR2200062770,"Colorectal Cancer",Metastatic
ChiCTR2200062770,"Colorectal Cancer",Refractory
ChiCTR2200062770,"Colorectal Cancer",Unresectable
ChiCTR2200063838,"Biliary Tract Cancer","Locally Advanced"
ChiCTR2200063838,"Biliary Tract Cancer",Metastatic
ChiCTR2200063838,"Biliary Tract Cancer",Refractory
ChiCTR2200063838,"Biliary Tract Cancer",Relapsed
ChiCTR2200063838,"Biliary Tract Cancer",Unresectable
ChiCTR2200063838,"Bladder Cancer","Locally Advanced"
ChiCTR2200063838,"Bladder Cancer",Metastatic
ChiCTR2200063838,"Bladder Cancer",Refractory
ChiCTR2200063838,"Bladder Cancer",Relapsed
ChiCTR2200063838,"Bladder Cancer",Unresectable
ChiCTR2200063838,"Gallbladder Cancer","Locally Advanced"
ChiCTR2200063838,"Gallbladder Cancer",Metastatic
ChiCTR2200063838,"Gallbladder Cancer",Refractory
ChiCTR2200063838,"Gallbladder Cancer",Relapsed
ChiCTR2200063838,"Gallbladder Cancer",Unresectable
ChiCTR2200063838,"Genitourinary Cancer","Locally Advanced"
ChiCTR2200063838,"Genitourinary Cancer",Metastatic
ChiCTR2200063838,"Genitourinary Cancer",Refractory
ChiCTR2200063838,"Genitourinary Cancer",Relapsed
ChiCTR2200063838,"Genitourinary Cancer",Unresectable
ChiCTR2200065807,"Biliary Tract Cancer",Advanced
ChiCTR2200065807,"Biliary Tract Cancer",Metastatic
ChiCTR2200065807,"Biliary Tract Cancer",Unresectable
ChiCTR2200066256,"Bladder Cancer",Advanced
ChiCTR2200066256,"Genitourinary Cancer",Advanced
ChiCTR2200066256,"Liver Cancer",Advanced
ChiCTR2200066256,"Solid Tumors",Advanced
ChiCTR2300067600,"Breast Cancer","Locally Advanced"
ChiCTR2300067600,"Breast Cancer",Metastatic
ChiCTR2300067600,"Breast Cancer",Refractory
ChiCTR2300067600,"Breast Cancer",Relapsed
ChiCTR2300067600,"Breast Cancer",Unresectable
ChiCTR2300068270,"Bladder Cancer",Muscle-invasive
ChiCTR2300068769,"Breast Cancer","Locally Advanced"
ChiCTR2300068946,"Brain Cancer",Advanced
ChiCTR2300068946,"Brain Cancer","Locally Advanced"
ChiCTR2300068946,"Brain Cancer",Relapsed
ChiCTR2300068946,"Brain Cancer",Unresectable
ChiCTR2300068946,"Breast Cancer",Advanced
ChiCTR2300068946,"Breast Cancer","Locally Advanced"
ChiCTR2300068946,"Breast Cancer",Relapsed
ChiCTR2300068946,"Breast Cancer",Unresectable
ChiCTR2300069410,"Bladder Cancer","Locally Advanced"
ChiCTR2300069410,"Bladder Cancer",Metastatic
ChiCTR2300069410,"Bladder Cancer",Muscle-invasive
ChiCTR2300069410,"Bladder Cancer",Relapsed
ChiCTR2300069410,"Bladder Cancer",Unresectable
ChiCTR2300069410,"Genitourinary Cancer","Locally Advanced"
ChiCTR2300069410,"Genitourinary Cancer",Metastatic
ChiCTR2300069410,"Genitourinary Cancer",Relapsed
ChiCTR2300069410,"Genitourinary Cancer",Unresectable
CTRI/2019/08/020544,"Breast Cancer","Locally Advanced"
CTRI/2019/08/020544,"Breast Cancer",Metastatic
CTRI/2019/08/020544,"Breast Cancer",Refractory
CTRI/2019/08/020544,"Breast Cancer",Unresectable
CTRI/2021/10/037317,"B-cell Leukemia",Refractory
CTRI/2021/10/037317,"B-cell Leukemia",Relapsed
CTRI/2021/10/037317,"B-cell Lymphoma",Refractory
CTRI/2021/10/037317,"B-cell Lymphoma",Relapsed
CTRI/2021/10/037317,"Central Nervous System Lymphoma",Refractory
CTRI/2021/10/037317,"Central Nervous System Lymphoma",Relapsed
CTRI/2021/10/037317,"Diffuse Large B-cell Lymphoma",Refractory
CTRI/2021/10/037317,"Diffuse Large B-cell Lymphoma",Relapsed
CTRI/2021/10/037317,"Non-Hodgkin Lymphoma",Refractory
CTRI/2021/10/037317,"Non-Hodgkin Lymphoma",Relapsed
CTRI/2022/02/040116,"Lung Cancer","Locally Advanced"
CTRI/2022/02/040116,"Lung Cancer",Metastatic
CTRI/2022/02/040116,"Lung Cancer",Relapsed
CTRI/2022/02/040116,"Lung Cancer",Unresectable
CTRI/2022/02/040116,"Non-small Cell Lung Cancer","Locally Advanced"
CTRI/2022/02/040116,"Non-small Cell Lung Cancer",Metastatic
CTRI/2022/02/040116,"Non-small Cell Lung Cancer",Relapsed
CTRI/2022/02/040116,"Non-small Cell Lung Cancer",Unresectable
CTRI/2023/03/050491,"Breast Cancer","Locally Advanced"
CTRI/2023/05/052218,"Liver Cancer","Locally Advanced"
CTRI/2023/05/052218,"Liver Cancer",Metastatic
CTRI/2023/05/052218,"Liver Cancer",Resectable
CTRI/2023/05/052218,"Lung Cancer","Locally Advanced"
CTRI/2023/05/052218,"Lung Cancer",Metastatic
CTRI/2023/05/052218,"Lung Cancer",Resectable
CTRI/2023/05/052218,"Non-small Cell Lung Cancer","Locally Advanced"
CTRI/2023/05/052218,"Non-small Cell Lung Cancer",Metastatic
CTRI/2023/05/052218,"Non-small Cell Lung Cancer",Resectable
EUCTR2005-000279-16-FI,"Acute Myeloid Leukemia",Relapsed
EUCTR2007-003798-16-DK,"Acute Myeloid Leukemia",Relapsed
EUCTR2007-003798-16-DK,"Myelodysplastic Syndrome",Relapsed
EUCTR2010-018980-41-BE,"Acute Myeloid Leukemia",Refractory
EUCTR2010-018980-41-BE,"Acute Myeloid Leukemia",Relapsed
EUCTR2010-018980-41-BE,"Hematological Malignancies",Refractory
EUCTR2010-018980-41-BE,"Hematological Malignancies",Relapsed
EUCTR2013-003252-20-BE,"Bladder Cancer",Metastatic
EUCTR2013-003252-20-BE,"Bladder Cancer",Refractory
EUCTR2013-003252-20-BE,"Bladder Cancer",Relapsed
EUCTR2013-003252-20-BE,"Breast Cancer",Metastatic
EUCTR2013-003252-20-BE,"Breast Cancer",Refractory
EUCTR2013-003252-20-BE,"Breast Cancer",Relapsed
EUCTR2013-003252-20-BE,"Genitourinary Cancer",Metastatic
EUCTR2013-003252-20-BE,"Genitourinary Cancer",Refractory
EUCTR2013-003252-20-BE,"Genitourinary Cancer",Relapsed
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",Metastatic
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",Refractory
EUCTR2013-003252-20-BE,"Triple-Negative Breast Cancer",Relapsed
EUCTR2014-000793-19-ES,"Breast Cancer","Locally Advanced"
EUCTR2014-000793-19-ES,"Breast Cancer",Metastatic
EUCTR2014-000793-19-ES,"Breast Cancer",Relapsed
EUCTR2014-000793-19-ES,"Breast Cancer",Resectable
EUCTR2014-000793-19-ES,"Breast Cancer",Unresectable
EUCTR2014-000808-10-SE,"Breast Cancer",Metastatic
EUCTR2014-002195-90-DK,"Acute Myeloid Leukemia",Relapsed
EUCTR2014-002195-90-DK,"Myelodysplastic Syndrome",Relapsed
EUCTR2014-005341-44-AT,"Solid Tumors",Advanced
EUCTR2014-005341-44-AT,"Solid Tumors","Locally Advanced"
EUCTR2014-005341-44-AT,"Solid Tumors",Metastatic
EUCTR2014-005341-44-AT,"Solid Tumors",Refractory
EUCTR2014-005341-44-AT,"Solid Tumors",Unresectable
EUCTR2016-000227-71-FI,"Acute Lymphocytic Leukemia",Refractory
EUCTR2016-000227-71-FI,"Acute Lymphocytic Leukemia",Relapsed
EUCTR2016-000227-71-FI,"B-cell Leukemia",Refractory
EUCTR2016-000227-71-FI,"B-cell Leukemia",Relapsed
EUCTR2016-000227-71-FI,"B-cell Lymphoma",Refractory
EUCTR2016-000227-71-FI,"B-cell Lymphoma",Relapsed
EUCTR2016-000227-71-FI,"Central Nervous System Lymphoma",Refractory
EUCTR2016-000227-71-FI,"Central Nervous System Lymphoma",Relapsed
EUCTR2016-000227-71-FI,"Diffuse Large B-cell Lymphoma",Refractory
EUCTR2016-000227-71-FI,"Diffuse Large B-cell Lymphoma",Relapsed
EUCTR2016-000227-71-FI,"Gastric Cancer",Refractory
EUCTR2016-000227-71-FI,"Gastric Cancer",Relapsed
EUCTR2016-000227-71-FI,"Gastrointestinal Cancer",Refractory
EUCTR2016-000227-71-FI,"Gastrointestinal Cancer",Relapsed
EUCTR2016-000227-71-FI,"Non-Hodgkin Lymphoma",Refractory
EUCTR2016-000227-71-FI,"Non-Hodgkin Lymphoma",Relapsed
EUCTR2016-000227-71-FI,"Primary Mediastinal B-cell Lymphoma",Refractory
EUCTR2016-000227-71-FI,"Primary Mediastinal B-cell Lymphoma",Relapsed
EUCTR2019-002181-12-IT,"Breast Cancer",Advanced
EUCTR2019-002181-12-IT,"Breast Cancer",Metastatic
EUCTR2019-002181-12-IT,"Breast Cancer",Relapsed
EUCTR2019-002181-12-IT,"Solid Tumors",Advanced
EUCTR2019-002181-12-IT,"Solid Tumors",Metastatic
EUCTR2019-002181-12-IT,"Solid Tumors",Relapsed
EUCTR2019-003084-21-IT,"Classical Hodgkin Lymphoma",Refractory
EUCTR2019-003084-21-IT,"Classical Hodgkin Lymphoma",Relapsed
EUCTR2020-000273-24-GB,"Acute Myeloid Leukemia",Relapsed
EUCTR2020-004181-20-IT,"Classical Hodgkin Lymphoma",Refractory
EUCTR2020-004181-20-IT,"Classical Hodgkin Lymphoma",Relapsed
JPRN-jRCT2011210017,"Head and Neck Cancer",Metastatic
JPRN-jRCT2011210017,"Head and Neck Cancer",Relapsed
JPRN-jRCT2031200186,"Head and Neck Cancer","Locally Advanced"
JPRN-jRCT2031200186,"Head and Neck Cancer",Metastatic
JPRN-jRCT2031200186,"Head and Neck Cancer",Refractory
JPRN-jRCT2031200186,"Head and Neck Cancer",Unresectable
JPRN-jRCT2031200186,"Lung Cancer","Locally Advanced"
JPRN-jRCT2031200186,"Lung Cancer",Metastatic
JPRN-jRCT2031200186,"Lung Cancer",Refractory
JPRN-jRCT2031200186,"Lung Cancer",Unresectable
JPRN-jRCT2031200186,"Non-small Cell Lung Cancer","Locally Advanced"
JPRN-jRCT2031200186,"Non-small Cell Lung Cancer",Metastatic
JPRN-jRCT2031200186,"Non-small Cell Lung Cancer",Refractory
JPRN-jRCT2031200186,"Non-small Cell Lung Cancer",Unresectable
JPRN-jRCT2031220404,"Colorectal Cancer",Advanced
JPRN-jRCT2031220404,"Colorectal Cancer",Metastatic
JPRN-jRCT2031220404,"Endometrial Cancer",Advanced
JPRN-jRCT2031220404,"Endometrial Cancer",Metastatic
JPRN-jRCT2031220404,"Fallopian tube Cancer",Advanced
JPRN-jRCT2031220404,"Fallopian tube Cancer",Metastatic
JPRN-jRCT2031220404,"Gastric Cancer",Advanced
JPRN-jRCT2031220404,"Gastric Cancer",Metastatic
JPRN-jRCT2031220404,"Gastrointestinal Cancer",Advanced
JPRN-jRCT2031220404,"Gastrointestinal Cancer",Metastatic
JPRN-jRCT2031220404,"Ovarian Cancer",Advanced
JPRN-jRCT2031220404,"Ovarian Cancer",Metastatic
JPRN-jRCT2031220404,"Peritoneal Cancer",Advanced
JPRN-jRCT2031220404,"Peritoneal Cancer",Metastatic
JPRN-jRCT2031220404,"Prostate Cancer",Advanced
JPRN-jRCT2031220404,"Prostate Cancer",Metastatic
JPRN-jRCT2031220404,"Solid Tumors",Advanced
JPRN-jRCT2031220404,"Solid Tumors",Metastatic
JPRN-jRCT2031220414,"Solid Tumors",Advanced
JPRN-jRCT2031220414,"Solid Tumors","Locally Advanced"
JPRN-jRCT2031220414,"Solid Tumors",Metastatic
