nct_id,indication,prior_exposure
ACTRN12620000490976,"Multiple Myeloma","PI Naive"
NCT02343042,"Multiple Myeloma","anti-CD38 Naive"
NCT02343042,"Multiple Myeloma","anti-CD38 Refractory"
NCT02343042,"Multiple Myeloma","IMiD Exposed"
NCT02343042,"Multiple Myeloma","IMiD Refractory"
NCT02343042,"Multiple Myeloma","Lenalidomide Exposed"
NCT02343042,"Multiple Myeloma","Lenalidomide Refractory"
NCT02343042,"Multiple Myeloma","PI Exposed"
NCT02343042,"Multiple Myeloma","PI Refractory"
NCT03126630,Mesothelioma,"PD-1 naive"
NCT03126630,Mesothelioma,"PD-L1 naive"
NCT03260491,"Lung Cancer",IO-exposed
NCT03260491,"Non-small Cell Lung Cancer",IO-exposed
NCT03288545,"Bladder Cancer","PD-1 naive"
NCT03319628,"Non-small Cell Lung Cancer",IO-exposed
NCT03319628,"Non-small Cell Lung Cancer",Platinum-refractory
NCT03319628,"Ovarian Cancer",Platinum-refractory
NCT03334617,"Lung Cancer",IO-exposed
NCT03334617,"Lung Cancer","PD-1 refractory"
NCT03334617,"Lung Cancer","PD-L1 refractory"
NCT03334617,"Non-small Cell Lung Cancer",IO-exposed
NCT03334617,"Non-small Cell Lung Cancer","PD-1 refractory"
NCT03334617,"Non-small Cell Lung Cancer","PD-L1 refractory"
NCT03401385,"Bladder Cancer",Platinum-refractory
NCT03401385,"Breast Cancer",Platinum-refractory
NCT03401385,"Cervical Cancer",Platinum-refractory
NCT03401385,"Colorectal Cancer",Platinum-refractory
NCT03401385,"Endometrial Cancer",Platinum-refractory
NCT03401385,"Esophageal Cancer",Platinum-refractory
NCT03401385,"Gastroesophageal Junction",Platinum-refractory
NCT03401385,"Head and Neck Cancer",Platinum-refractory
NCT03401385,"Non-small Cell Lung Cancer",Platinum-refractory
NCT03401385,"Ovarian Cancer",Platinum-refractory
NCT03401385,"Pancreatic Cancer",Platinum-refractory
NCT03401385,"Prostate Cancer",Platinum-refractory
NCT03401385,"Small Cell Lung Cancer",Platinum-refractory
NCT03401385,"Triple-Negative Breast Cancer",Platinum-refractory
NCT03474107,"Bladder Cancer",IO-exposed
NCT03485209,"Head and Neck Cancer",IO-exposed
